name,net_worth,age,country/territory,Sorce
Elon Musk,$218.9 B,50,United States,"Tesla, SpaceX"
Jeff Bezos,$171.3 B,58,United States,Amazon
Bernard Arnault & family,$157.9 B,73,France,LVMH
Bill Gates,$129.2 B,66,United States,Microsoft
Warren Buffett,$117.9 B,91,United States,Berkshire Hathaway
Larry Page,$110.7 B,48,United States,Google
Sergey Brin,$106.8 B,48,United States,Google
Larry Ellison,$106.1 B,77,United States,software
Steve Ballmer,$90.5 B,65,United States,Microsoft
Gautam Adani & family,$89.9 B,59,India,"infrastructure, commodities"
Mukesh Ambani,$86.7 B,64,India,diversified
